product_id,title,lifetime_orders,outcome
15909123817852,Sleeveless Shirred Tiered A Line Cotton Summer Mini Sundress Women,1,ok
15939715694972,High Waisted Wide Leg Palazzo Pants Trousers Womens,1,ok
15942777405820,Open Toe Suede Strappy Low Block Heel Sandals for Women,2,ok
16006885441916,Floral Strappy Backless Lace Maxi Sundress Women,1,ok
16006904578428,High Neck Cap Sleeve Structured A Line Mini Dress Women,1,ok
16012668010876,Collared Short Sleeve Button Front Tie Waist Summer Beach Playsuit Women,2,ok
16012670435708,V Neck Strappy Button Front Tie Waist Summer Playsuit Women,1,ok
16013338149244,Open Toe T Bar High Platform Wedge Sandals for Women,7,ok
16014848295292,Floral Square Neck Short Sleeve Shirred Tiered Mini Sundress Women,1,ok
16015191441788,Floral Square Neck Sleeveless Flowy Mini Sundress Women,3,ok
16016155640188,Floral V Neck Long Sleeve Ruched Chiffon Maxi Wedding Guest Dress Women,1,ok
16017493787004,V Neck Long Sleeve Ruched A Line Mini Female Funeral Dress,2,ok
16018845958524,High Waisted Buttoned Denim Mini Skirt Women,1,ok
16019471597948,Floral High Waisted Wrap Skort Summer Women,1,ok
16021504983420,Studded Fringe Suede A Line Mini Skirt Women,2,ok
16021540176252,Faux Leather High Waisted Zip Front Party Mini Skirt Women,1,ok
16022298263932,Floral Sleeveless Tie Waist Summer Playsuit Women,7,ok
16022303834492,Floral Strappy Ruffle Summer Beach Playsuit Women,1,ok
16022317891964,Sleeveless Button Front Ribbed Pocket Summer Playsuit Women,2,ok
16022798041468,Elasticated Waist Pleated Satin Maxi Skirt Women,1,ok
16023713415548,Tropical Floral V Neck Short Sleeve Summer Mini Sundress Women,2,ok
16023722393980,Floral V Neck Long Sleeve Ruffle Shirred Mini Sundress Women,3,ok
16027639349628,Bow Short Sleeve Shift Mini Dress Women,1,ok
16027756134780,Floral Off Shoulder Short Sleeve Ruffle Midi Sundress Women,1,ok
16027781038460,Cap Sleeve Empire Waist Tiered Mini Sundress Women,1,ok
16027783627132,Floral V Neck Sleeveless Satin Maxi Summer Wedding Guest Dress Women,1,ok
16027858764156,High Neck Long Sleeve Ruched A Line Modest Maxi Wedding Guest Dress Women,1,ok
16031361007996,High Neck Long Sleeve Tie Waist A Line Maxi Female Funeral Dress,1,ok
16031452135804,Ditsy Floral Strappy Split Shirred Midi Sundress Women,2,ok
16031458787708,Scoop Neck Sleeveless A Line Midi Sundress Women,2,ok
16031466881404,Strappy Square Neck Shirred Ruffle Tiered Midi Sundress With Slit Women,1,ok
16031469207932,V Neck Short Sleeve Cotton Beach Midi Sundress Women,1,ok
16034171322748,Floral V Neck Tank Tiered Empire Waist Maxi Sundress Women,1,ok
16034182234492,Floral Round Neck Tie Waist A Line Maxi Sundress Women,1,ok
16034182988156,Striped V Neck Cami Tiered Empire Waist Maxi Sundress Women,1,ok
16034188263804,Floral Embroidered Square Neck Strappy Summer Midi Sundress Women,3,ok
16034191147388,V Neck Cami Open Back Tiered Boho Maxi Sundress Women,1,ok
16034192490876,V Neck Strappy Shirred Empire Waist Maxi Sundress Women,1,ok
16034194227580,Round Neck Tank Open Back Linen Boho Maxi Sundress Women,1,ok
16034206613884,Floral Sleeveless Flowy Midi Sundress Women,1,ok
16034923053436,Halter Neck Ruffle Cut Out Bodycon Mini Dress Women,1,ok
16035747627388,Sleeveless Ruched Fit and Flare Maxi Wedding Guest Dress Women,1,ok
16036192878972,V Neck Short Sleeve Tie Waist Linen Beach Midi Sundress Women,1,ok
16037009883516,Floral V Neck Sleeveless Chiffon Wedding Guest Maxi Dress Women,1,ok
16040327250300,Diamante Toe Post Ankle Strap Gold Flat Sandals for Women,1,ok
16040400060796,Off Shoulder Short Sleeve Ruffle Summer Playsuit Women,1,ok
16040403042684,Ditsy Floral V Neck Short Sleeve Shirred Maxi Sundress Women,1,ok
16041191047548,Sleeveless V Neck Blazer Belted Playsuit Women,1,ok
16041522954620,Floral Square Neck Sleeveless Tiered Backless Maxi Sundress Women,1,ok
16043347509628,Floral Scoop Neck Sleeveless Flowy Summer Mini Sundress Women,1,ok
16043355570556,Floral V Neck Sleeveless Summer Mini Sundress Women,1,ok
